"Strings";"en";"de";"fr";"Notes"
"improve_knowledge_question_result_all_questions_correct";"Congratulations! 
You have answered all the questions in this category correctly.";"Herzlichen Glückwunsch, Sie haben alle Fragen dieser Kategorie korrekt beantwortet!";"Félicitations! 
Vous avez répondu à toutes les questions de cette catégorie correctement.";
;;;;
"//Options screen //";;;;
"options_text_screen_title";"Options";"Options";"Optionen";
"options_button_profile";"Profile";"Profile";"Profil";
"options_button_restore";"Restore Subscription";"Restore Subscription";"Restore Subscription";"New"
;;;;
"//Options screen rating pop-up //";;;;
"options_rating_button_email_customer_service";"Email customer service";"Email customer service";"Email customer service";"New"
"options_rating_button_no_thanks";"No, thanks";"No, thanks";"No, thanks";"New"
"options_rating_button_rate_in_store";"Rate in the store";"Rate in the store";"Rate in the store";"New"
"options_rating_text_3_stars_review";"<b>We are very sorry to hear that!</b> Please let us know on how to improve or about the problem you are having. We will get back to you asap!";"<b>We are very sorry to hear that!</b> Please let us know on how to improve or about the problem you are having. We will get back to you asap!";"<b>We are very sorry to hear that!</b> Please let us know on how to improve or about the problem you are having. We will get back to you asap!";"New"
"options_rating_text_4_stars_review";"Thanks, What can we do to improve and get 5 Stars? Please write us with a tip!";"Thanks, What can we do to improve and get 5 Stars? Please write us with a tip!";"Thanks, What can we do to improve and get 5 Stars? Please write us with a tip!";"New"
"options_rating_text_5_stars_review";"Thank you! Would you like to support our work by writing us a review in the App Store?";"Thank you! Would you like to support our work by writing us a review in the App Store?";"Thank you! Would you like to support our work by writing us a review in the App Store?";"New"
;;;;
"//Profile screen //";;;;
"profile_text_profile";"Profile";"Profil";"Profil";
"profile_button_delete";"Delete profile";"Profil löschen";"Supprimer le profil";
"profile_text_name";"Name";"Name";"Nom";
;;;;
"//Profile Screen pop up //";;;;
"profile_popup_text_warning";"<b>Warning</b>";"<b>Warnung</b>";"<b>Avertissement</b>";
"profile_popup_text_confirm";"Do you really want to delete this profile?";"Wollen Sie dieses Profil wirklich löschen?";"Voulez-vous vraiment supprimer ce profil?";
"profile_popup_button_cancel";"Cancel";"Abbrechen";"Annuler";
"profile_popup_button_delete";"Delete";"Löschen";"Supprimer";
;;;;
"//Statistics screen //";;;;
"statisctics_text_personal_statistics";"Personal Statistics";"Persönliche Statistik";"Statistiques";
"statisctics_text_average_kq";"Your average KQ";"Ihr Durchschnitts-WQ";"Votre QC moyen";
"statisctics_text_highest_kq";"Your highest KQ";"Ihr höchster WQ";"Votre meilleur QC";
"statisctics_text_strengths";"Your strengths";"Ihre Stärken";"Vos points forts";
"statisctics_text_weaknesses";"Your weaknesses";"Ihre Schwächen";"Vos points faibles";
;;;;
"//Question Results screen //";;;;
"question_result_text_difficulty_level";"Difficulty
Level";"Schwierigkeit";"Difficulté";
;;;;
"//Lesson Results screen //";;;;
"lesson_result_text_lesson_number_results";"LESSON {0} - RESULTS";"LEKTION {0} - BILANZ";"LEÇONS {0} - RÉSULTATS";
"lesson_result_text_questions_correct";"questions correct";"Fragen richtig";"réponses justes";
"lesson_result_button_next_lesson";"Next lesson";"Nächste Lektion";"Leçon suivante";
;;;;
"//Lesson Results Offer Screen //";;;;
"lesson_result_offer_slideshow_text_01";"Your warm-up of Knowledge Trainer is finished. Questions will now be repeated.";"Your warm-up of Knowledge Trainer is finished. Questions will now be repeated.";"Your warm-up of Knowledge Trainer is finished. Questions will now be repeated.";"New"
"lesson_result_offer_slideshow_text_02";"Come on, Roland. Threat yourself and support our question team!";"Come on, Roland. Threat yourself and support our question team!";"Come on, Roland. Threat yourself and support our question team!";"New"
"lesson_result_offer_slideshow_text_03";"Unlock the full game with thousands of new & regularly updated questions and get rid of those ads for only $1/month. ";"Unlock the full game with thousands of new & regularly updated questions and get rid of those ads for only $1/month. ";"Unlock the full game with thousands of new & regularly updated questions and get rid of those ads for only $1/month. ";"New"
"lesson_result_offer_button_free_month";"Let’s try a month";"Let’s try a month";"Let’s try a month";"New"
"lesson_result_offer_badge_text_free";"FREE";"FREE";"FREE";"New"
"lesson_result_offer_free_lesson_text";"One lesson with new questions will be ready for you tomorrow, if you are not convinced yet. ";"One lesson with new questions will be ready for you tomorrow, if you are not convinced yet. ";"One lesson with new questions will be ready for you tomorrow, if you are not convinced yet. ";"New"
"lesson_result_offer_button_play_anyway";"Play anyway";"Play anyway";"Play anyway";"New"
;;;;
"//New rank screen //";;;;
"new_rank_text_congratulations";"Congratulations!";"Herzlichen Glückwunsch!";"Félicitations!";
"new_rank_text_moving_up";"You are moving up.";"Stufe abgeschlossen.";"Vous avez atteint une étape.";
"new_rank_text_your_new_rank";"Your new rank:";"Ihr neuer Rang:";"Votre nouveau rang:";
;;;;
"//New high score //";;;;
"high_score_text_personal_best";"New personal best!";"NEUE BESTLEISTUNG!";"NOUVEAU RECORD!";
;;;;
"//Rating pop-up //";;;;
"app_title_knowledge_trainer";"Knowledge Trainer";"Wissenstraining";"Couch Culturel";
"rating_text_title";"Spread the love";"Teile das Glück";"Partage ton bonheur";
"rating_text_main";"If Knowledge Trainer has been good to you, please tell your friends, rate our app and help us grow!";"Wenn Dir Wissenstraining Freude bereitet, lass es Deine Freunde wissen und belohne unsere Arbeit mit einer Bewertung.";"Si Couch Culturel t'a fait du bien, fais passer le mot à tes amis, rédige ton avis et aide nous ainsi à nous épanouir.";
"rating_button_rate_in_app_store";"Rate in App Store";"Im AppStore bewerten";"App Store : ton avis";
"rating_button_not_now";"Not now, maybe later";"Nicht jetzt, vielleicht später";"Me le rappeler plus tard";
"rating_button_dont_ask";"Do not ask me again ";"Lasst mich in Ruhe";"Non, merci";
"rating_url_apple_app_store_key_string";"Knowledgetrainer_free";"Knowledgetrainer_free";"Knowledgetrainer_free";
"rating_google_app_store_url";"https://play.google.com/store/apps/details?id=com.thebinaryfamily.knowledgetrainerfree";"https://play.google.com/store/apps/details?id=com.thebinaryfamily.knowledgetrainerfree";"https://play.google.com/store/apps/details?id=com.thebinaryfamily.knowledgetrainerfree";
;;;;
;;;;
"//User ranks //";;;;
"rank_text_01";"Neophyte";"Novize";"Débutant";
"rank_text_02";"Learner";"Learner";"Learner";"New"
"rank_text_03";"Student";"Trainee";"Apprenti";
"rank_text_04";"Scholar";"Referent";"Confirmé";
"rank_text_05";"Master";"Master";"Master";"New"
"rank_text_06";"Professor";"Professor";"Professor";"New"
"rank_text_07";"Expert";"Experte";"Expert";
"rank_text_08";"Genius";"Genius";"Genius";"New"
"rank_text_09";"Guru";"Koryphäe";"Génie";
;;;;
"//Percentage questions correctly answered to qualify for rank //";;;;
"rank_percentage_correct_answers_02";"0,05";"1";"1";
"rank_percentage_correct_answers_03";"0,2";"2";"2";
"rank_percentage_correct_answers_04";"0,3";"3";"3";
"rank_percentage_correct_answers_05";"8";"8";"8";
"rank_percentage_correct_answers_06";"12";"12";"12";
"rank_percentage_correct_answers_07";"15";"15";"15";
"rank_percentage_correct_answers_08";"20";"20";"20";
"rank_percentage_correct_answers_09";"30";"30";"30";
;;;;
;;;;
"//Ten question categories //";;;;
"category_text_film";"Film";"Film";"Film";
"category_text_geography";"Geography";"Geografie";"Géographie";
"category_text_history";"History";"Geschichte";"Histoire";
"category_text_art_literature";"Arts & Letters";"Literatur";"Littérature";
"category_text_music";"Music";"Musik";"Musique";
"category_text_politics";"Social Science";"Politik";"Société";
"category_text_sports";"Sports";"Sport";"Sport";
"category_text_technology";"Technology";"Technik";"Nature";
"category_text_miscellaneous";"Miscellaneous";"Vermischtes";"Divers";
"category_text_science";"Science";"Wissenschaft";"Sciences";
;;;;
"/********* Question Results comments ********//";;;;
;;;;
"//Standard commentary used in multiple contexts//";;;;
"standard_commentary_text_wrong_01";"Sorry, that was incorrect.";"Das war leider falsch.";"Désolé, c'était faux!";
"standard_commentary_text_wrong_02";"Sorry, wrong.";"Falsch!";"Faux!";
"standard_commentary_text_time_up";"Time's up - think faster next time!";"Die Zeit ist abgelaufen.";"Temps écoulé, répondez plus vite!";
"standard_commentary_text_correct_01";"That was right!";"Das war richtig!";"C'était juste!";
"standard_commentary_text_correct_02";"Right!";"Korrekt!";"Correct!";
"standard_commentary_text_correct_03";"That was correct.";"Das war korrekt.";"C'était juste!";
;;;;
"//Question Results Motivation Correct Answers //";;;;
"question_result_motivation_text_level1_correct_01";"This question was no problem for you.";"Diese Frage war kein Problem für Sie.";"Cette question ne vous a pas posé problème.";
"question_result_motivation_text_level1_correct_02";"Correct, that was no challenge for you.";"Korrekte Antwort auf eine einfache Frage.";"Réponse correcte pour une question facile.";
"question_result_motivation_text_level1_correct_03";"That one was easy for you!";"Korrekt. Das war keine Herausfoderung für Sie!";"Cette question vous était facile.";
"question_result_motivation_text_level1_correct_quick_01";"You knew that one right away.";"Einfache Frage. Schnelle Antwort.";"Vous connaissiez la réponse d'emblée.";
"question_result_motivation_text_level1_correct_quick_02";"You got that one right away. Very good.";"So etwas wissen Sie sofort. Sehr gut!";"Vous le saviez sans hésiter. Très bien!";
"question_result_motivation_text_level1_correct_quick_03";"A quick and accurate reaction.";"Eine rasche Reaktion auf eine simple Frage.";"Une réaction rapide et exacte.";
"question_result_motivation_text_level2_correct_01";"Your answer was spot-on.";"Ihre Antwort ist nicht zu beanstanden.";"Réponse absolument correcte.";
"question_result_motivation_text_level2_correct_02";"That was a fitting answer.";"Ihre Antwort ist stimmig.";"Réponse exacte.";
"question_result_motivation_text_level2_correct_03";"Right! That one was easy for you.";"Korrekt. Die Frage gehört zum Allgemeinwissen.";"Juste. Vous avez eu facile!";
"question_result_motivation_text_level2_correct_04";"That question was no challenge for you.";"Diese Frage war keine Herausforderung.";"La réponse n'était pas un mystère pour vous.";
"question_result_motivation_text_level2_correct_quick_01";"Good, quick reaction.";"Gute, schnelle Reaktion.";"Bien, réaction rapide.";
"question_result_motivation_text_level2_correct_quick_02";"Right, fast and decisive.";"Richtig, schnell und entschlossen.";"Correct, rapide et décisif.";
"question_result_motivation_text_level3_correct_01";"That was correct!";"Das war korrekt!";"C'était juste!";
"question_result_motivation_text_level3_correct_02";"Your answer is right.";"Ihre Antwort ist richtig.";"Votre réponse est la bonne.";
"question_result_motivation_text_level3_correct_03";"You are right.";"Sie liegen richtig.";"Vous avez raison!";
"question_result_motivation_text_level3_correct_04";"You are well informed.";"Sie kennen die Materie.";"Vous vous y connaissez!";
"question_result_motivation_text_level3_correct_quick_01";"Excellent - and quick.";"Ausgezeichnet und schnell.";"Excellent et rapide!";
"question_result_motivation_text_level3_correct_quick_02";"You are speedy and good!";"Sie sind schnell und gut!";"Vous êtes rapide et doué!";
"question_result_motivation_text_level4_correct_01";"Kudos. That was no easy question.";"Respekt: Das war nicht einfach.";"Respect! Ce n'était pas simple.";
"question_result_motivation_text_level4_correct_02";"A good answer to a challenging question.";"Gute Antwort auf eine anspruchsvolle Frage.";"Réponse correcte à une question difficile.";
"question_result_motivation_text_level4_correct_03";"Hard question, correct answer.";"Schwere Frage, richtige Antwort.";"Question difficile, réponse correcte.";
"question_result_motivation_text_level4_correct_04";"Very impressive. That was difficult.";"Hochachtung. Das war diffizil.";"Impressionnant! C'était compliqué.";
"question_result_motivation_text_level4_correct_quick_01";"Fine job. A particularly quick reaction.";"Eine herausragend schnelle Reaktion.";"Bravo, une réaction particulièrement rapide.";
"question_result_motivation_text_level4_correct_quick_02";"Maximum velocity and accuracy. Impressive.";"Rasant und richtig, Respekt.";"Vite et juste, super!";
"question_result_motivation_text_level5_correct_01";"Very good! A real highlight.";"Sehr gut. Ein echtes Highlight.";"Très bien! Une performance!";
"question_result_motivation_text_level5_correct_02";"World class. A wise answer.";"Meisterklasse. Eine weise Antwort.";"Brillant! Une réponse futée.";
"question_result_motivation_text_level5_correct_03";"Your answer suggests great intelligence.";"Ihre Antwort zeugt von hoher Intelligenz.";"Votre réponse est très intelligente.";
"question_result_motivation_text_level5_correct_04";"Simply outstanding.";"Herausragend.";"Tout simplement génial!";
"question_result_motivation_text_level5_correct_quick_01";"You're leaving everyone else in the dust.";"Das macht Ihnen so schnell keiner nach.";"Vous êtes le plus rapide!";
"question_result_motivation_text_level5_correct_quick_02";"That was brilliant.";"Das war brillant.";"C'était excellent.";
;;;;
"//Question Results Motivation Correct In A Row //";;;;
"question_result_motivation_text_3inarow";"Right three times. Your intellect is impressive.";"3x richtig. Respekt vor Ihrem Intellekt.";"3X correct. Votre intellect est impressionnant!";
"question_result_motivation_text_5inarow";"Five in a row. A real winning streak.";"Fünf Richtige ohne Fehler. Ein echter Höhenflug.";"Cinq à la suite. Une vraie performance!";
"question_result_motivation_text_7inarow";"Seven consecutive answers correct. World class.";"Sieben Fragen in Folge richtig. Meisterklasse.";"7 réponses correctes à la suite. Chapeau!";
;;;;
"//Question Results Motivation Wrong Answers //";;;;
"question_result_motivation_text_level1_wrong_01";"You could've gotten that! Let's try another.";"Leider falsch. Das nächste Mal wissen Sie das!";"Un peu plus de concentration aurait aidé.";
"question_result_motivation_text_level1_wrong_02";"Oops, missed an easy one! Try again.";"Das war leider die falsche Antwort.";"Faux. La question était pourtant facile.";
"question_result_motivation_text_level1_wrong_03";"Pay closer attention next time.";"Falsch. Konzentration auf die nächste Frage.";"Faites plus attention la fois suivante.";
"question_result_motivation_text_level1_wrong_quick_01";"Oh no! Quick response, but incorrect.";"Falsch. Schnell reagiert aber nicht korrekt.";"Faux. Réponse rapide mais incorrecte.";
"question_result_motivation_text_level1_wrong_quick_02";"Quick, but slow and steady wins the race.";"Nicht korrekt. Geben Sie sich mehr Zeit.";"Incorrect. Donnez-vous plus de temps.";
"question_result_motivation_text_level2_wrong_01";"You'll get that one next time.";"Das hätten Sie wissen können.";"Vous le saurez pour la fois prochaine.";
"question_result_motivation_text_level2_wrong_02";"Unfortunately, that was the wrong answer.";"Das war leider die falsche Antwort.";"Réponse non correcte, dommage!";
"question_result_motivation_text_level2_wrong_03";"Unfortunately, that was not correct.";"Das war nicht richtig.";"Malheureusement, c'est faux.";
"question_result_motivation_text_level2_wrong_quick_01";"Quick, but wrong! Try going a bit slower.";"Ihre Antwort kam schnell, ist aber falsch.";"Rapide, mais incorrect. Prenez plus de temps.";
"question_result_motivation_text_level2_wrong_quick_02";"Quick but wrong. Think it over before you tap.";"Nicht richtig. Antworten Sie mit Bedacht!";"Rapide, mais faux. Réfléchissez mieux!";
"question_result_motivation_text_level3_wrong_01";"Wrong, unfortunately. Let's try another one.";"Leider falsch! Die nächste Frage wird einfacher.";"Malheureusement faux. Concentrez-vous mieux!";
"question_result_motivation_text_level3_wrong_02";"Sorry, wrong. Let's try another one.";"Leider falsch. Die Erklärung gibt Aufschluss.";"Désolé, c'est faux! Plus de concentration!";
"question_result_motivation_text_level3_wrong_03";"Sorry, wrong. That was a hard one!";"Falsch. Keine einfache Frage.";"Faux. Cette question était difficile!";
"question_result_motivation_text_level3_wrong_quick_01";"You answered quickly, but incorrectly.";"Schnell, aber falsch geantwortet.";"Réaction rapide, mais réponse incorrecte.";
"question_result_motivation_text_level3_wrong_quick_02";"No need to rush. Take your time on the next one.";"Leider falsch. Geben Sie sich Zeit.";"Prenez votre temps!";
"question_result_motivation_text_level4_wrong_01";"That question was truly difficult.";"Diese Frage war wirklich schwer.";"Cette question était vraiment difficile.";
"question_result_motivation_text_level4_wrong_02";"Wrong, but that was a difficult question.";"Schwere Frage, falsche Antwort.";"Faux, mais cette question était difficile.";
"question_result_motivation_text_level4_wrong_03";"That was something very few would know.";"Über dieses Wissen verfügen nur wenige.";"Peu de personnes connaissent la réponse.";
"question_result_motivation_text_level4_wrong_quick_01";"Quick, but wrong!";"Schnell aber falsch. Eine schwere Frage.";"Rapide, mais incorrect!";
"question_result_motivation_text_level4_wrong_quick_02";"It was a hard one. Take your time next time.";"Flott, aber leider falsch geantwortet.";"Réponse rapide et fausse.";
"question_result_motivation_text_level5_wrong_01";"Wrong, but that was no easy question.";"Falsch, aber das war keine leichte Frage.";"Faux, mais la question n'était pas simple.";
"question_result_motivation_text_level5_wrong_02";"Sorry. That was a very difficult question.";"Leider die falsche Antwort auf eine schwere Frage.";"Faux, mais la réponse était difficile.";
"question_result_motivation_text_level5_wrong_03";"Very few people would have known that.";"Nur wenige Menschen hätten das gewusst.";"Peu de personnes le savent.";
;;;;
"/********* Lesson Results motivation comments ********//";;;;
"lesson_result_motivation_text_0of10_correct";"Don't worry, things can only get better!";"Das kann nur besser werden.";"Vous ne pouvez que vous améliorer.";
"lesson_result_motivation_text_1of10_correct";"Better luck next time!";"Sie werden sich mit Sicherheit steigern.";"Vous aurez plus de chance la fois suivante.";
"lesson_result_motivation_text_2of10_correct";"Not so hot, but you'll improve!";"Da ist noch reichlich Luft nach oben.";"Cela ne relève pas encore de la performance.";
"lesson_result_motivation_text_3of10_correct";"Not bad, but there's room to improve.";"Das war nicht schlecht, aber es geht noch besser.";"Pas très convainquant, entraînez-vous!";
"lesson_result_motivation_text_4of10_correct_01";"Not bad, and you'll do better next time.";"Das können Sie bestimmt noch besser.";"Vous pourriez certainement mieux faire.";
"lesson_result_motivation_text_4of10_correct_02";"Not amazing, but not bad either.";"Eine durchwachsenes Ergebnis mit Potential.";"Pas extraordinaire, mais pas mauvais pour autant.";
"lesson_result_motivation_text_5of10_correct_01";"Not too shabby!";"Das Ergebnis liegt im üblichen Rahmen.";"Pas mal.";
"lesson_result_motivation_text_5of10_correct_02";"Your performance met the average standard.";"Diese Leistung entspricht dem Durchschnitt.";"Juste dans la moyenne.";
"lesson_result_motivation_text_5of10_correct_03";"Not bad, not bad at all!";"Das war zufriedenstellend.";"Satisfaisant.";
"lesson_result_motivation_text_6of10_correct_01";"A very respectable performance.";"Eine respektable Leistung.";"Une performance respectable.";
"lesson_result_motivation_text_6of10_correct_02";"Congratulations on a strong result.";"Ein gutes Ergebnis.";"Un bon résultat.";
"lesson_result_motivation_text_6of10_correct_03";"You're getting better and better.";"Ihr Allgemeinwissen entwickelt sich positiv.";"Vos connaissances générales s'améliorent.";
"lesson_result_motivation_text_7of10_correct_01";"Your knowledge is well above average.";"Ihr Wissen liegt deutlich über dem Durchschnitt.";"Vos connaissances sont au-dessus de la moyenne!";
"lesson_result_motivation_text_7of10_correct_02";"Congratulations on a terrific result.";"Respekt, ein sehr gutes Ergebnis.";"Félicitations, un très bon résultat.";
"lesson_result_motivation_text_7of10_correct_03";"The breadth of your knowledge is impressive.";"Ihr Wissenshorizont ist beeindruckend.";"Votre culture générale est impressionnante!";
"lesson_result_motivation_text_7of10_correct_04";"Your general knowledge is excellent.";"Ihr Allgemeinwissen ist wirklich imponierend.";"Vos connaissances générales sont excellentes.";
"lesson_result_motivation_text_8of10_correct_01";"Outstanding. An excellent round!";"Hervorragend. Ihr Training zeigt Resultate.";"Génial. Votre entraînement porte ses fruits.";
"lesson_result_motivation_text_8of10_correct_02";"A very impressive result.";"Formidables Ergebnis.";"Un résultat impressionnant!";
"lesson_result_motivation_text_8of10_correct_03";"Hats off to you!";"Chapeau!";"Chapeau bas!";
"lesson_result_motivation_text_9of10_correct_01";"One of the best results ever.";"Eines der besten Ergebnisse überhaupt.";"Un des meilleurs résultats jamais enregistré.";
"lesson_result_motivation_text_9of10_correct_02";"You're passing with flying colors.";"Das war eine Glanzleistung.";"Performance réussie haut la main!";
"lesson_result_motivation_text_10of10_correct_01";"So long, and thanks for all the fish.";"Macht’s gut und danke für den Fisch.";"Salut, et encore merci pour le poisson.";
"lesson_result_motivation_text_10of10_correct_02";"You're ready to know the ultimate answer...42.";42;"Vous êtes prêts à connaitre la réponse ultime... 42";
;;;;
;;;;
"//Other Games screen //";;;;
"other_games_screen_title_01";"Intelligent Apps";"Intelligente Apps";"Apps intelligentes";
;;;;
"//Other Games - iPhone List //";;;;
"other_games_text_app_01_iphone_name";"Beautiful Weather";"Beautiful Weather";"Beautiful Weather";"Trans"
"other_games_text_app_01_iphone_key_string";"Beautifulweather";"Beautifulweather";"Beautifulweather";
"other_games_text_app_01_iphone_desc";"See the beauty in every forecast.";"See the beauty in every forecast.";"See the beauty in every forecast.";"Trans"
"other_games_text_app_01_iphone_icon_url";"http://www.thebinaryfamily.com/p/apps/icons/app-icon-bw.png";"http://www.thebinaryfamily.com/p/apps/icons/app-icon-bw.png";"http://www.thebinaryfamily.com/p/apps/icons/app-icon-bw.png";
"other_games_text_app_02_iphone_name";"Simply, Sudoku (Free)";"Simply, Sudoku (Free)";"Simply, Sudoku (Free)";"Trans"
"other_games_text_app_02_iphone_key_string";"Sudoku_Free";"Sudoku_Free";"Sudoku_Free";
"other_games_text_app_02_iphone_desc";"Our beautiful adaptation of a classic.";"Our beautiful adaptation of a classic.";"Our beautiful adaptation of a classic.";"Trans"
"other_games_text_app_02_iphone_icon_url";"http://www.thebinaryfamily.com/p/apps/icons/app-icon-sudoku.png";"http://www.thebinaryfamily.com/p/apps/icons/app-icon-sudoku.png";"http://www.thebinaryfamily.com/p/apps/icons/app-icon-sudoku.png";
"other_games_text_app_03_iphone_name";"Dr. Reichel's IQ Test";"Dr. Reichel's IQ Test";"Dr. Reichel's IQ Test";"Trans"
"other_games_text_app_03_iphone_key_string";"IQ_Test";"IQ_Test";"IQ_Test";
"other_games_text_app_03_iphone_desc";"A scientific intelligence test.";"A scientific intelligence test.";"A scientific intelligence test.";"Trans"
"other_games_text_app_03_iphone_icon_url";"http://www.thebinaryfamily.com/p/apps/icons/app-icon-iq.png";"http://www.thebinaryfamily.com/p/apps/icons/app-icon-iq.png";"http://www.thebinaryfamily.com/p/apps/icons/app-icon-iq.png";
"other_games_text_app_04_iphone_name";"Crossword: Arrow Words Free";"Crossword: Arrow Words Free";"Crossword: Arrow Words Free";"Trans"
"other_games_text_app_04_iphone_key_string";"Arrow_Words_Free_iPhone";"Arrow_Words_Free_iPhone";"Arrow_Words_Free_iPhone";
"other_games_text_app_04_iphone_desc";"Challenging puzzles.";"Challenging puzzles.";"Challenging puzzles.";"Trans"
"other_games_text_app_04_iphone_icon_url";"http://www.thebinaryfamily.com/p/apps/icons/app-icon-crossword.png";"http://www.thebinaryfamily.com/p/apps/icons/app-icon-crossword.png";"http://www.thebinaryfamily.com/p/apps/icons/app-icon-crossword.png";
"other_games_text_app_05_iphone_name";"Summer Solitaire (Free)";"Summer Solitaire (Free)";"Summer Solitaire (Free)";"Trans"
"other_games_text_app_05_iphone_key_string";"Solitaire_Free";"Solitaire_Free";"Solitaire_Free";
"other_games_text_app_05_iphone_desc";"Addiction is in the cards.";"Addiction is in the cards.";"Addiction is in the cards.";"Trans"
"other_games_text_app_05_iphone_icon_url";"http://www.thebinaryfamily.com/p/apps/icons/app-icon-solitaire.png";"http://www.thebinaryfamily.com/p/apps/icons/app-icon-solitaire.png";"http://www.thebinaryfamily.com/p/apps/icons/app-icon-solitaire.png";
"other_games_text_app_06_iphone_name";"Trivia To Go";"Trivia To Go";"Trivia To Go";"Trans"
"other_games_text_app_06_iphone_key_string";"TriviaToGoPlus";"TriviaToGoPlus";"TriviaToGoPlus";
"other_games_text_app_06_iphone_icon_url";"http://www.thebinaryfamily.com/p/apps/icons/app-icon-trivia.png";"http://www.thebinaryfamily.com/p/apps/icons/app-icon-trivia.png";"http://www.thebinaryfamily.com/p/apps/icons/app-icon-trivia.png";
"other_games_text_app_06_iphone_desc";"The trivia game for smart people.";"The trivia game for smart people.";"The trivia game for smart people.";"Trans"
;;;;
"//Other Games - iPad List //";;;;
"other_games_text_app_01_ipad_name";"Beautiful Weather";"Beautiful Weather";"Beautiful Weather";"Trans"
"other_games_text_app_01_ipad_key_string";"Beautifulweather";"Beautifulweather";"Beautifulweather";
"other_games_text_app_01_ipad_desc";"See the beauty in every forecast.";"See the beauty in every forecast.";"See the beauty in every forecast.";"Trans"
"other_games_text_app_01_ipad_icon_url";"http://www.thebinaryfamily.com/p/apps/icons/app-icon-bw.png";"http://www.thebinaryfamily.com/p/apps/icons/app-icon-bw.png";"http://www.thebinaryfamily.com/p/apps/icons/app-icon-bw.png";
"other_games_text_app_02_ipad_name";"Simply, Sudoku (Free)";"Simply, Sudoku (Free)";"Simply, Sudoku (Free)";"Trans"
"other_games_text_app_02_ipad_key_string";"Sudoku_Free";"Sudoku_Free";"Sudoku_Free";
"other_games_text_app_02_ipad_desc";"Our beautiful adaptation of a classic.";"Our beautiful adaptation of a classic.";"Our beautiful adaptation of a classic.";"Trans"
"other_games_text_app_02_ipad_icon_url";"http://www.thebinaryfamily.com/p/apps/icons/app-icon-sudoku.png";"http://www.thebinaryfamily.com/p/apps/icons/app-icon-sudoku.png";"http://www.thebinaryfamily.com/p/apps/icons/app-icon-sudoku.png";
"other_games_text_app_03_ipad_name";"Dr. Reichel's IQ Test";"Dr. Reichel's IQ Test";"Dr. Reichel's IQ Test";"Trans"
"other_games_text_app_03_ipad_key_string";"IQ_Test";"IQ_Test";"IQ_Test";
"other_games_text_app_03_ipad_desc";"A scientific intelligence test.";"A scientific intelligence test.";"A scientific intelligence test.";"Trans"
"other_games_text_app_03_ipad_icon_url";"http://www.thebinaryfamily.com/p/apps/icons/app-icon-iq.png";"http://www.thebinaryfamily.com/p/apps/icons/app-icon-iq.png";"http://www.thebinaryfamily.com/p/apps/icons/app-icon-iq.png";
"other_games_text_app_04_ipad_name";"Crossword: Arrow Words Free";"Crossword: Arrow Words Free";"Crossword: Arrow Words Free";"Trans"
"other_games_text_app_04_ipad_key_string";"Arrow_Words_Free_iPhone";"Arrow_Words_Free_iPhone";"Arrow_Words_Free_iPhone";
"other_games_text_app_04_ipad_desc";"Challenging puzzles.";"Challenging puzzles.";"Challenging puzzles.";"Trans"
